AbsClampIATCall                        returned 0 writes, no hit
DualScaledInitCmp_0046df50             returned 3 writes, no hit
DualScaledInit_g_table_0052ab18_g_table_0053a2a0 returned 4 writes, no hit
DualScaledInit_g_table_0053a330_g_table_0053a258 returned 4 writes, no hit
DualScaledInit_g_table_0053a750_g_table_00538048 returned 4 writes, no hit
DualScaledInit_g_table_00541e00_g_table_0053a2f8 returned 4 writes, no hit
DualScaledLitInitJmp                   ran out  1 writes, no hit
DualScaledLoadStoreJmp                 returned 10 writes, no hit
DualScaledStore                        returned 0 writes, no hit
DualScaledStoreConst                   returned 2 writes, no hit
DualScaledStoreZero                    returned 3 writes, no hit
DualSectionInit                        returned 3 writes, no hit
DualSeqBranchInit                      returned 4 writes, no hit
DualSeqLoopDispatch                    returned 7 writes, no hit
DualSetCallPair                        returned 16 writes, no hit
DualSetShiftCall                       returned 4 writes, no hit
DualSlotCopyChain                      returned 0 writes, no hit
DualSlotInitAndMatchFsm                returned 18 writes, no hit
DualSlotPropagateCall                  returned 8 writes, no hit
DualStreamSqDistThresh                 returned 1 writes, no hit
DualSubFromField                       returned 0 writes, no hit
DualSubInstallChain                    returned 23 writes, no hit
DualSwapTwoCallsJmp                    returned 4 writes, no hit
DualTableMappedDispatch                ran out  25 writes, no hit
DualTestDirtyToggle_00427ea0           returned 0 writes, no hit
DualTestDirtyToggle_004282c0           returned 0 writes, no hit
DualVtable8Call                        returned 0 writes, no hit
DualWalkRange                          returned 8 writes, no hit
ECM_Cleanup                            returned 0 writes, no hit
ECM_DecodeFrame                        returned 0 writes, no hit
ECM_DecodeFrameDispatch                returned 1 writes, no hit
ECM_DecodeFrame_Huffman                ran out  0 writes, no hit
ECM_DecodeFrame_Raw                    returned 0 writes, no hit
ECM_Open                               ran out  1 writes, no hit
ECM_OpenTrack                          ran out  2 writes, no hit
ECM_ParseFrameHeader                   returned 1 writes, no hit
ECM_PlayThread                         ran out  1 writes, no hit
ESF_Close                              returned 0 writes, no hit
ESF_DecodeADPCM                        returned 0 writes, no hit
ESF_Open                               ran out  2 writes, no hit
ESF_ReadData                           returned 0 writes, no hit
EarlyOutDualPushIATStore               returned 0 writes, no hit
EcmFrameDecode                         returned 0 writes, no hit
EcmStreamTickAdvance                   returned 0 writes, no hit
EffectTableWalker                      ran out  11 writes, no hit
EightEntryAlarmDispatch                returned 67 writes, no hit
EightPackedSubInstallSelfWalk          returned 45 writes, no hit
Eleven404b90_404c00                    returned 3 writes, no hit
EmptyRetStub_004bd5e0                  returned 0 writes, no hit
EncodeModeFlags                        returned 0 writes, no hit
EndingScreenFsmCluster                 returned 12 writes, no hit
EnduranceFsmCluster                    ran out  25 writes, no hit
EnduranceMode_Handler                  ran out  26 writes, no hit
EnduranceRoundMsgCluster               returned 31 writes, no hit
EnduranceStateInitWalk                 returned 26 writes, no hit
EntitySetupCountdownFsm                returned 16 writes, no hit
EntryBodyInstallSelfMidRef             returned 28 writes, no hit
EntryThenDispatcherPair                returned 40 writes, no hit
EntryThunkBodyStateMachine             returned 14 writes, no hit
EnvSpawnRehydratePass                  returned 5 writes, no hit
EsiAliasInstallChainCall               returned 10 writes, no hit
EsiAliasInstallSelf                    returned 6 writes, no hit
EsiEdiAliasDualMul10                   returned 2 writes, no hit
EsiInstallBitCallChain_CopyJmp_GuardedChainPushSetCallPop_g_currentNodeIdx_00429530 returned 16 writes, no hit
EsiInstallBitCallChain_CopyJmp_GuardedChainPushSetCallPop_g_currentNodeIdx_004295a0 returned 16 writes, no hit
EsiInstallBitCallChain_CopyJmp_GuardedChainPushSetCallPop_g_currentNodeIdx_00429610 returned 16 writes, no hit
EsiInstallChainCallCmpThreshold        returned 12 writes, no hit
EsiInstallChainCallIndirect            returned 10 writes, no hit
EsiInstallChainCmpDualCall             returned 16 writes, no hit
EsiInstallClampAddCall                 returned 12 writes, no hit
EsiInstallClearTripleFields            returned 4 writes, no hit
EsiInstallCounterDispatch              returned 16 writes, no hit
EsiInstallDecCallChain_StackPopDispatchTagged_004293d0 returned 11 writes, no hit
EsiInstallDecCallChain_StackPopDispatchTagged_004294a0 returned 16 writes, no hit
EsiInstallDecGlobalJmp                 returned 7 writes, no hit
EsiInstallPushDecPopJmp                returned 4 writes, no hit
EsiInstallQuadCallBitDispatch          ran out  HIT ['0x535e0c', '0x53a1e4', '0x53a73c']
EsiInstallSetCallChain                 returned 23 writes, no hit
EsiInstallSetCbChainExtend_0048a810    returned 23 writes, no hit
EsiInstallSetCbChainExtend_0048a8c0    returned 23 writes, no hit
EsiInstallSetCbChainExtend_0048a970    returned 22 writes, no hit
EsiInstallTwoCallCmpInstall            ran out  18 writes, no hit
EsiTripleMul10Vec                      returned 3 writes, no hit
Event112Cluster                        returned 30 writes, no hit
Event23bMusicCluster                   returned 43 writes, no hit
EventGateCluster                       returned 4 writes, no hit
EventPacketDecoder                     returned 4 writes, no hit
EventQueueDrainLoop                    ran out  775 writes, no hit
Event_InvokeHandler                    ran out  3 writes, no hit
ExitGame                               ran out  1 writes, no hit
ExtractBitsToVec3                      returned 0 writes, no hit
FCloseImpl                             returned 0 writes, no hit
FFlushImpl                             returned 0 writes, no hit
FPIntegerTest                          returned 0 writes, no hit
FPUPrecisionCheck                      returned 0 writes, no hit
FSYS_HashName                          returned 0 writes, no hit
FSYS_NormalizePath                     returned 0 writes, no hit
FSYS_fclose                            returned 1 writes, no hit
FSYS_fload                             ran out  2 writes, no hit
FSYS_fopen                             ran out  2 writes, no hit
FSYS_fread                             returned 0 writes, no hit
FSYS_fseek                             returned 0 writes, no hit
FSYS_fsize                             ran out  1 writes, no hit
FSYS_ftell                             returned 0 writes, no hit
FSeekImpl                              ran out  0 writes, no hit
FWriteNoLock                           returned 0 writes, no hit
FcvtFormatDecimal                      returned 1 writes, no hit
FgetsImpl                              returned 0 writes, no hit
FightFrameStep                         returned 15 writes, no hit
FightFrameStep_Inner                   returned 14 writes, no hit
Filbuf                                 returned 0 writes, no hit
FileTableClose                         ran out  0 writes, no hit
FileTableExtendOrFind                  ran out  1 writes, no hit
FileTellAdjusted                       ran out  0 writes, no hit
FileWriteWithLfToCrlf                  returned 0 writes, no hit
FiveBlockDispatchChain_ScaledAndAl7f   returned 38 writes, no hit
FiveBlockDispatchChain_ScaledAndAlfe   returned 38 writes, no hit
FiveBlockDispatch_JumpTableDispatch    returned 34 writes, no hit
FiveBlockDispatch_ScaledCmp200eCallBool ran out  2 writes, no hit
FiveCallGuardSetTail                   returned 29 writes, no hit
FiveCallScaledChainTailJmp             returned 15 writes, no hit
FiveEntryAlarmInstallChain             returned 11 writes, no hit
FiveFieldChainCopyTableWalk            returned 4 writes, no hit
FivePackedSubChainBigEntry             returned 19 writes, no hit
FivePackedSubdispatchInstallSelf       returned 20 writes, no hit
FiveSetWalkJmp                         returned 3 writes, no hit
FiveStageSetupChain                    returned 32 writes, no hit
FiveTableInitChainBracketed            returned 4 writes, no hit
FiveTableWalkInit                      ran out  25 writes, no hit
FiveThunkMStackDispatcher              returned 38 writes, no hit
FixedDiv16                             returned 0 writes, no hit
FlagCascadeStateSet                    returned 2 writes, no hit
FlagInitTableSelector                  returned 22 writes, no hit
FlagThunk4EntryDispatcher              returned 21 writes, no hit
FloatToStringBundle                    returned 1 writes, no hit
FloatTransientHelpers                  returned 0 writes, no hit
Flsbuf                                 returned 1 writes, no hit
FlushDrawQueue                         returned 0 writes, no hit
FopenMode                              returned 0 writes, no hit
FormatHelper                           returned 1 writes, no hit
FormatMenuItemsAndDraw                 ran out  429 writes, no hit
ForwardWithLiteral_004ccce0            returned 0 writes, no hit
ForwardWithLiteral_004ccd00            returned 0 writes, no hit
FourCallBitGateChain                   returned 3 writes, no hit
FourConstCallLitCallJmp_Wrapper_IterLoad_0048fd30_then_TripleScaledChainStore_then_StageEventStartCluster_0047fec0 returned 27 writes, no hit
FourConstCallLitCallJmp_Wrapper_IterLoad_0048fd30_then_TripleScaledChainStore_then_StageEventStartCluster_0047ff20 returned 27 writes, no hit
FourEntryAlarmInstall                  returned 23 writes, no hit
FourFieldCopyCallSet                   returned 3 writes, no hit
FourGlobalsEqualFInitTail              ran out  11 writes, no hit
FourIndirectCalls                      ran out  1 writes, no hit
FourPackedSubInitCmpDispatch           returned 26 writes, no hit
FourSegmentPoseWalk                    returned 8 writes, no hit
FourStageChainedDispatch               returned 3 writes, no hit
FourVecFillMStackBracket               returned 6 writes, no hit
FpClassify                             returned 0 writes, no hit
FpExceptionFilter                      ran out  1 writes, no hit
FpExtendedToFloat                      returned 0 writes, no hit
FpFormatRound                          returned 0 writes, no hit
Fpclass                                returned 0 writes, no hit
FpuCwTxn                               returned 0 writes, no hit
FpuFlagBundle                          returned 0 writes, no hit
FpuMaskMerge                           returned 0 writes, no hit
FpuSqrtMul                             returned 1 writes, no hit
FrameFinalize                          returned 13 writes, no hit
FramePauseScaledStore                  returned 5 writes, no hit
Fread                                  returned 0 writes, no hit
FreeImpl                               returned 0 writes, no hit
FreeSlotFinder                         returned 0 writes, no hit
Frexp                                  returned 0 writes, no hit
FsmPoseDualEntry                       returned 5 writes, no hit
GDispatch1_CmpEqWalkSetCallToggleDirty_then_ScaledAddrInit_InstallSelfMStackPushDispatch returned 4 writes, no hit
GDispatch1_DualCondMatchSet_then_ScaledInitWithCounterAndType returned 0 writes, no hit
GDispatch4                             returned HIT ['0x535e0c']
GameDispatchValidateState              ran out  3 writes, no hit
GameInstall2BodyMul10ScaledInit        returned 5 writes, no hit
GameLoaderHandlerCluster               returned 2 writes, no hit
GameLogicStep                          ran out  6 writes, no hit
GameModeAdvanceCluster                 returned 19 writes, no hit
GameModeHandlerCluster                 ran out  3 writes, no hit
GameMode_EnterScene                    ran out  27 writes, no hit
GameMusicState4Way                     returned 6 writes, no hit
GameNetSyncState                       returned 0 writes, no hit
GameSectionSwitcher                    returned 3 writes, no hit
GameStateDispatch4Way                  returned 19 writes, no hit
GameStateLinearAdvance4Way             returned 43 writes, no hit
GameStateMachine                       returned 292 writes, no hit
GameStateProgressCluster               returned 27 writes, no hit
GameStateTick                          ran out  2 writes, no hit
GameTick                               EMU-ERROR UcError: Unhandled CPU exception (UC_ERR_EXCEPTION)
GamepadSeqRecord                       returned 0 writes, no hit
GateDispatch6c                         returned 0 writes, no hit
GatedChainClamp                        returned 18 writes, no hit
GatedChainInit                         returned 6 writes, no hit
GatedDoubleSetupJmp                    returned 7 writes, no hit
GatedScaledChainSetup                  returned 8 writes, no hit
GatedScaledSubSat                      returned 2 writes, no hit
GatedWordPushCall                      returned 1 writes, no hit
GeoLoadFixupLoop                       returned 1 writes, no hit
GeoTransformDispatchAndApply           returned 1 writes, no hit
GetExeDirectory                        ran out  0 writes, no hit
GetFpuSw                               returned 0 writes, no hit
GetFpuSwClex                           returned 0 writes, no hit
Gfx_Init                               returned 0 writes, no hit
GlidePolyClip                          returned 3 writes, no hit
GlideTriBatchEmit                      returned 0 writes, no hit
GlideTriColorFlush                     returned 0 writes, no hit
GlobalsResetInit                       returned 16 writes, no hit
GuardedArithDualCallChain              returned 5 writes, no hit
GuardedBitChainCmpJmp                  returned 4 writes, no hit
GuardedBitMaskFlagOrClear              returned 3 writes, no hit
GuardedCallDirtyJmpInit                ran out  4 writes, no hit
GuardedCallStoreSlotsCmp               returned 3 writes, no hit
GuardedCascadeBaseSelBit               returned 6 writes, no hit
GuardedCascadeCjCopyFieldsBitOr        returned 9 writes, no hit
GuardedCascadeCjLink70Mul10            returned 4 writes, no hit
GuardedCascadeCjSetMul10               returned 4 writes, no hit
GuardedChainClearFlagToggle            returned 4 writes, no hit
GuardedChainCmpDualBitXor              returned 5 writes, no hit
GuardedChainCopyJmp                    ran out  HIT ['0x535e0c', '0x53a1e4', '0x53a73c']
GuardedChainCopySetFlag                returned 4 writes, no hit
GuardedChainDispatch                   returned 0 writes, no hit
GuardedChainDispatch2c                 returned 10 writes, no hit
GuardedChainDualAdd                    returned 4 writes, no hit
GuardedChainMaskOr                     returned 3 writes, no hit
GuardedChainPushSetCallPop             returned 4 writes, no hit
GuardedClampStoreJmp                   returned 10 writes, no hit
GuardedCmpDualToggle                   returned 0 writes, no hit
GuardedDirty4ScaledJmp                 returned 12 writes, no hit
GuardedDirtyDispatch                   returned 29 writes, no hit
GuardedDirtyXformFromTable             returned 1 writes, no hit
GuardedDispatch4_00484b40              returned 31 writes, no hit
GuardedDispatch4_00489080              returned 11 writes, no hit
GuardedDispatch_CallPauseMStackPushSet3Jmp returned 39 writes, no hit
GuardedDispatch_CallPauseMStackPushSet4Jmp returned 44 writes, no hit
GuardedDispatch_EsiAliasInstallChainCall returned 41 writes, no hit
GuardedDispatch_InstallSelfDualEsi     returned 45 writes, no hit
GuardedDoubleCallSetJmp                ran out  45 writes, no hit
GuardedDoubleIncCmpJmp                 returned 7 writes, no hit
GuardedDualAndFlagToggle               returned 7 writes, no hit
GuardedDualConst1AndToggle             returned 1 writes, no hit
GuardedDualConst2AndToggle             returned 1 writes, no hit
GuardedDualMaskFlagToggle              returned 2 writes, no hit
GuardedDualPushTailJmp                 returned 5 writes, no hit
GuardedDualScaledChainCopy             returned 4 writes, no hit
GuardedFourCallChain                   returned 9 writes, no hit
GuardedLoopWithCallback                returned 10 writes, no hit
GuardedLoopWithCallback_Callback_004284c0 returned 11 writes, no hit
GuardedPackedSlotInit                  returned 10 writes, no hit
GuardedPushCall_CopyJmp_then_ArgSarStoreJmp_0043b980 returned 44 writes, no hit
GuardedPushCall_CopyJmp_then_ArgSarStoreJmp_0046a560 returned 18 writes, no hit
GuardedPushCall_DualMul10AndDispatchChain_then_ArgSar_Set0_Jmp returned 49 writes, no hit
GuardedPushCall_ScaledLoadInstallOrCall_then_PackedAdvanceCallTailJmp returned 47 writes, no hit
GuardedPushCall_Thunk_ScaledLoadInstallOrCall_then_PackedAdvanceCallTailJmp returned 49 writes, no hit
GuardedPushCall_Wrapper_ScaledChainPushCall_then_ArgSarStoreJmp returned 28 writes, no hit
GuardedRangeCmpFpuJmp                  returned 0 writes, no hit
GuardedRangeCmpToggle                  returned 2 writes, no hit
GuardedScaledCall                      returned 1 writes, no hit
GuardedScaledChainJmpIndirect          returned 1 writes, no hit
GuardedScaledLookupCallJmp             ran out  5 writes, no hit
GuardedScaled_MStackPush8_then_PendingMatch returned 13 writes, no hit
GuardedScaled_TestP1ReplaceCurrent_then_LinkedListSearch_00474fd0 returned 5 writes, no hit
GuardedScaled_TestP1ReplaceCurrent_then_LinkedListSearch_00475000 returned 5 writes, no hit
GuardedScaled_TestP1ReplaceCurrent_then_LinkedListSearch_00475030 returned 5 writes, no hit
GuardedScaled_TestP1ReplaceCurrent_then_LinkedListSearch_00475060 returned 5 writes, no hit
GuardedScaled_TestP1ReplaceCurrent_then_LinkedListSearch_00475090 returned 5 writes, no hit
GuardedScaled_TestP1ReplaceCurrent_then_LinkedListSearch_004750c0 returned 5 writes, no hit
GuardedSelfRefSet                      ran out  2 writes, no hit
GuardedSeq_BitmapBlitRunLength_then_FiveTableInitChainBracketed returned 65 writes, no hit
GuardedSeq_BootStateInitLongChain_then_StackPopDispatchTagged ran out  12 writes, no hit
GuardedSeq_ChainDirtyBitWalker_then_DualScaledLoadStoreJmp returned 7 writes, no hit
GuardedSeq_CjTableThresholdDispatch_then_RoundTextMenuEventCluster returned 21 writes, no hit
GuardedSeq_CmpJmpTwoBranch_then_Wrapper_ScaledChainPushCall returned 8 writes, no hit
GuardedSeq_CmpP1DualInitStore_then_ScaledIndirectJmp ran out  2 writes, no hit
GuardedSeq_CopyJmp_then_GuardedLoopWithCallback returned 15 writes, no hit
GuardedSeq_CopyJmp_then_MStackPushDualJmp returned 15 writes, no hit
GuardedSeq_DirtyDoubleDeref_then_ChainSlotSetupInstallSelf returned 3 writes, no hit
GuardedSeq_DirtyDoubleDeref_then_ScaledAndFBJmp returned 2 writes, no hit
GuardedSeq_DirtyDoubleDeref_then_ScaledOr4Jmp returned 3 writes, no hit
GuardedSeq_DualCallPauseDirtyJmp_then_ScaledXorStore returned 10 writes, no hit
GuardedSeq_DualMulScaleStore_then_PhaseInstall2DInterpDispatch_0042fb80 returned 12 writes, no hit
GuardedSeq_DualMulScaleStore_then_PhaseInstall2DInterpDispatch_0042fba0 returned 12 writes, no hit
GuardedSeq_DualPushCmp12Dispatch68_then_ByteWordTableTaggedDispatch returned 2 writes, no hit
GuardedSeq_DualPushCmp12Dispatch_then_ByteWordTableTaggedDispatch returned 2 writes, no hit
GuardedSeq_DualSetShiftCall_then_DoubleStackPushAndJmp returned 10 writes, no hit
GuardedSeq_DualSetShiftCall_then_DoubleStackPushAndJmp7b returned 10 writes, no hit
GuardedSeq_DualSetShiftCall_then_DoubleStackPushAndJmp7d returned 10 writes, no hit
GuardedSeq_DualSetShiftCall_then_DualPushSet7dCallPop returned 10 writes, no hit
GuardedSeq_DualSetShiftCall_then_MStackPush2CjMul10Triple returned 10 writes, no hit
GuardedSeq_GuardedChainCmpDualBitXor_then_ScaledIncCmpJmp returned 7 writes, no hit
GuardedSeq_GuardedTripleCallSetTail_then_GuardedSeq returned 15 writes, no hit
GuardedSeq_MStackCall_then_CallSetPause_00471670 ran out  HIT ['0x535e0c', '0x53a1e4', '0x53a73c']
GuardedSeq_MStackCall_then_CallSetPause_00497450 ran out  HIT ['0x535e0c', '0x53a1e4', '0x53a73c']
GuardedSeq_MStackCall_then_CallSetPause_0049a650 ran out  HIT ['0x535e0c', '0x53a1e4', '0x53a73c']
GuardedSeq_MStackCall_then_CallSetPause_0049c340 ran out  HIT ['0x535e0c', '0x53a1e4', '0x53a73c']
GuardedSeq_MStackNegAwareMul10Pair_then_ChainTableWalkStore returned 5 writes, no hit
GuardedSeq_MStackPushSet0004_then_MoveSelectorCluster returned 27 writes, no hit
GuardedSeq_MStackPushTwoEntryChainCall_then_PoseCopyIdleCluster returned 17 writes, no hit
GuardedSeq_PackedSelectLoad6_then_GuardedSeq ran out  2 writes, no hit
GuardedSeq_PendingMatch_then_GuardedSeq returned 15 writes, no hit
GuardedSeq_ScaledLoadTwoCallDualConst_then_GuardedSeq_0044ba10 returned 14 writes, no hit
GuardedSeq_ScaledLoadTwoCallDualConst_then_GuardedSeq_00467c10 returned 14 writes, no hit
GuardedSeq_ScaledXorStore_then_LiteralPushCallEntZero returned 21 writes, no hit
GuardedSeq_ScaledZeroFour_then_GuardedSeq returned 21 writes, no hit
GuardedSeq_ScaledZeroFour_then_StackPopDispatchTagged ran out  9 writes, no hit
GuardedSeq_ZeroTriple_then_PendingMatch returned 5 writes, no hit
GuardedSetCallOrJmp                    returned 10 writes, no hit
GuardedSetCallSetCall                  returned 15 writes, no hit
GuardedSetInitInstallChain             returned 1 writes, no hit
GuardedSetupCallTailJmp                returned 36 writes, no hit
GuardedSetupCallTailJmp3               returned 35 writes, no hit
GuardedSetupTailMStackJmp              returned 3 writes, no hit
GuardedSixFieldCopy                    returned 2 writes, no hit
GuardedStateChangePair                 returned 20 writes, no hit
GuardedThenCjCascade                   returned 31 writes, no hit
GuardedTimeBudgetDualMul10             returned 1 writes, no hit
GuardedTripleCallSetTail               returned 10 writes, no hit
GuardedTripleCallSwapJmp               returned 22 writes, no hit
GuardedTripleSetTailJmp7               returned 15 writes, no hit
GuardedTripleSetTailJmp8               returned 15 writes, no hit
GuardedTwiceLoopback                   returned 11 writes, no hit
GuardedTwiceLoopback_Body_00459fe0     returned 12 writes, no hit
GuardedWalkSwitchDirty                 returned 1 writes, no hit
HalveChainTriplePop2                   returned 10 writes, no hit
HandWalkCluster                        returned 21 writes, no hit
HealthBarTickDriver                    returned 0 writes, no hit
HeapRegionLookup                       returned 0 writes, no hit
HeapRegionTeardown                     ran out  0 writes, no hit
HeapScanInit                           ran out  1 writes, no hit
HeapShrinkDecommit                     returned 0 writes, no hit
HelperCallTripleMul10                  returned 19 writes, no hit
Helper_AppStub_21C0                    returned 0 writes, no hit
Helper_AppStub_2890                    returned 0 writes, no hit
Helper_AppStub_2AE0                    returned 0 writes, no hit
Helper_AudioRelease                    ran out  11 writes, no hit
Helper_AudioStart                      returned 0 writes, no hit
Helper_AudioStartFresh                 returned 18 writes, no hit
Helper_AudioStop                       returned 0 writes, no hit
Helper_AudioStub_2960                  returned 0 writes, no hit
Helper_AudioStub_4140                  returned 0 writes, no hit
Helper_AudioStub_4160                  returned 0 writes, no hit
Helper_AuxAudio_PostInit               ran out  0 writes, no hit
Helper_ChkStk                          returned 0 writes, no hit
Helper_ComputeExeHash                  ran out  1 writes, no hit
Helper_DSI_post1                       returned 0 writes, no hit
Helper_DSI_post2                       returned 0 writes, no hit
Helper_DownloadDebugPrint              returned 0 writes, no hit
Helper_DownloadSetup                   returned 3 writes, no hit
Helper_DrawCursor                      returned 1 writes, no hit
Helper_DrawMenuText                    returned 0 writes, no hit
Helper_DrawMenu_PostRender             returned 11 writes, no hit
Helper_ECM_PostCleanup                 returned 0 writes, no hit
Helper_EmitLine                        returned 2 writes, no hit
Helper_FClose                          ran out  1 writes, no hit
Helper_FOpen                           ran out  1 writes, no hit
Helper_FOpenPostInit                   ran out  1 writes, no hit
Helper_FRead                           ran out  1 writes, no hit
Helper_FSeek                           ran out  1 writes, no hit
Helper_FTell                           ran out  1 writes, no hit
Helper_GSM_Config                      returned 291 writes, no hit
Helper_GSM_HandleEvent                 returned 387 writes, no hit
Helper_GSM_Options                     returned 861 writes, no hit
Helper_GSM_PlayMusic                   returned 0 writes, no hit
Helper_GSM_Practice                    ran out  4 writes, no hit
Helper_GSM_Tournament                  returned 935 writes, no hit
Helper_GSM_VS                          returned 1099 writes, no hit
Helper_GeoLoadPost                     returned 0 writes, no hit
Helper_GeoLoadPre                      ran out  0 writes, no hit
Helper_GeoStub_5370                    returned 0 writes, no hit
Helper_GeoStub_5A70                    returned 0 writes, no hit
Helper_GetMenuExtents                  returned 0 writes, no hit
Helper_GfxCleanup                      returned 1 writes, no hit
Helper_GfxInit2                        returned 0 writes, no hit
Helper_GlideError                      returned 0 writes, no hit
Helper_GlideMode                       ran out  2 writes, no hit
Helper_GlideOpen                       ran out  0 writes, no hit
Helper_GlidePostInit                   returned 0 writes, no hit
Helper_MemMalloc_Post                  returned 0 writes, no hit
Helper_MenuStub_62B0                   returned 0 writes, no hit
Helper_MenuStub_8EB0                   returned 0 writes, no hit
Helper_PaletteInit                     ran out  4 writes, no hit
Helper_PerPlayerTick                   EMU-ERROR UcError: Unhandled CPU exception (UC_ERR_EXCEPTION)
Helper_PostCreateWindow                ran out  0 writes, no hit
Helper_PostPlayerTick                  returned 7 writes, no hit
Helper_PreTick                         returned 9 writes, no hit
Helper_RendererPostInit                returned 0 writes, no hit
Helper_SetState_02                     returned 2 writes, no hit
Helper_SetState_03                     returned 2 writes, no hit
Helper_SetState_04                     returned 2 writes, no hit
Helper_SetState_05                     returned 2 writes, no hit
Helper_SetState_06                     returned 2 writes, no hit
Helper_SetState_07                     returned 2 writes, no hit
Helper_SetState_09                     returned 2 writes, no hit
Helper_SetState_0B                     returned 2 writes, no hit
Helper_SetState_0C                     returned 2 writes, no hit
Helper_SetState_0E                     returned 2 writes, no hit
Helper_SetState_0F                     returned 2 writes, no hit
Helper_SetState_10                     returned 2 writes, no hit
Helper_SetState_1A                     returned 2 writes, no hit
Helper_Sprintf                         returned 0 writes, no hit
Helper_TexUpload                       returned 1 writes, no hit
Helper_TickAlt                         ran out  1 writes, no hit
Helper_TickFrameTail                   returned 2 writes, no hit
Helper_TickFrame_Misc                  returned 16 writes, no hit
Helper_TickFrame_PostFight             returned 0 writes, no hit
Helper_TickInit                        returned 7 writes, no hit
Helper_TickInner                       returned 3 writes, no hit
Helper_TickReinit                      returned 25 writes, no hit
Helper_TitleAudioCleanup               returned 1 writes, no hit
Helper_TitleAudioReset                 returned 0 writes, no hit
Helper_TitleAudioStop                  returned 17 writes, no hit
Helper_TitleEnterStateA                returned 0 writes, no hit
Helper_TitleEnterStateB                returned 1 writes, no hit
Helper_TitleEnterStateC                ran out  0 writes, no hit
Helper_TitleSetMaxVolume               returned 0 writes, no hit
HitContactDispatcherCluster            returned 11 writes, no hit
HitFsmCluster                          returned 44 writes, no hit
HitReactionCluster                     returned 0 writes, no hit
HitReactionDispatcher                  returned 15 writes, no hit
HitReactionStateCluster                returned 44 writes, no hit
HitStateCluster                        returned 3 writes, no hit
HopBackFsmCluster                      returned 20 writes, no hit
IK_ChainPoseUpdate                     returned 14 writes, no hit
IOWrapper_CritSecLazyEnter_004c8dd0    ran out  0 writes, no hit
IOWrapper_CritSecLazyEnter_004c8fc0    ran out  0 writes, no hit
IOWrapper_CritSecLazyEnter_004c9ae0    ran out  0 writes, no hit
IdCascadeBitSet                        returned 1 writes, no hit
IdentityMatrix                         returned 9 writes, no hit
IdleFsm4CaseDispatch                   returned 6 writes, no hit
IncBoundedDirty                        returned 1 writes, no hit
IncCallVtablePushCall                  returned 1 writes, no hit
IncCapped3e7                           returned 2 writes, no hit
IncCmp28StoreOrJmp                     returned 20 writes, no hit
IncJmp                                 returned 4 writes, no hit
IncOrZero9                             returned 2 writes, no hit
IncStoreCallIATDec                     ran out  2 writes, no hit
IncThunkPlusCjDispatch                 returned 2 writes, no hit
IncWrap0fJmp                           ran out  23 writes, no hit
IndexedBitTest                         returned 0 writes, no hit
IndirectCall                           returned 0 writes, no hit
IndirectDispatch3Entry                 ran out  2 writes, no hit
IndirectDispatchCjStore                ran out  3 writes, no hit
IndirectJmp                            ran out  0 writes, no hit
IndirectOpcodeDispatch3Entry           ran out  2 writes, no hit
IndirectStateDispatcher                ran out  2 writes, no hit
Init0AndMax                            returned 12 writes, no hit
Init16BitFields                        returned 2 writes, no hit
Init28fDecLoad                         returned 5 writes, no hit
Init3333Jmp                            returned 25 writes, no hit
Init4Globals                           returned 5 writes, no hit
Init6Globals                           ran out  2 writes, no hit
Init6Struct                            returned 3 writes, no hit
InitDispatchersJmp                     returned 14 writes, no hit
InitFields50and14                      returned 2 writes, no hit
InitGlobalsAndZero                     returned 0 writes, no hit
InitOrAllZeroLoopback                  returned 5 writes, no hit
InitSlotsWithTag                       returned 4 writes, no hit
InitStateDualCall48ac70                ran out  7 writes, no hit
InitThreeFields                        returned 4 writes, no hit
InitZeroChainLookupJmp                 returned 14 writes, no hit
InitZeroSixFields                      returned 1 writes, no hit
InputPollFlagBits                      returned 0 writes, no hit
InputPollFlagBitsHalf                  returned 0 writes, no hit
Input_AnyConfirmPressed                returned 0 writes, no hit
Input_GetAsyncKey                      ran out  0 writes, no hit
Input_PollJoystick                     returned 0 writes, no hit
Input_PollPlayerJoystick               returned 0 writes, no hit
Input_PollPlayerKeyboard               returned 0 writes, no hit
Input_RebindButtonToAction             returned 0 writes, no hit
Input_RebindKeyToAction                returned 0 writes, no hit
Input_TickPlayers                      returned 13 writes, no hit
Install3StateAudioChain                returned 12 writes, no hit
Install3StateDualArmQuad               returned 20 writes, no hit
Install3StateLongSeq                   returned 28 writes, no hit
Install3StateMStackCounterDispatch     returned 35 writes, no hit
Install3StateMStackPopDispatch         returned 19 writes, no hit
Install3StateRouterTail                returned 17 writes, no hit
Install3StateSiblingTail               returned 17 writes, no hit
Install3WayChainCounter                returned 17 writes, no hit
Install3WayChainStateAdvance           returned 9 writes, no hit
Install3WayCountdownGame               returned 8 writes, no hit
Install4StateMerge                     returned 24 writes, no hit
InstallChainInitTailJmp                returned 8 writes, no hit
InstallSelf3StateDualBody              returned 26 writes, no hit
InstallSelf3StateDualChain             returned 18 writes, no hit
InstallSelf3StateDualEntry             returned 18 writes, no hit
InstallSelf3StateFieldSet              returned 25 writes, no hit
InstallSelf3WayChainCmp                returned 11 writes, no hit
InstallSelf3WayState                   returned 22 writes, no hit
InstallSelf3WaySubDec                  returned 4 writes, no hit
